"";BBDP1.M.DE.Y.EPL.L.L1A00000000.I10.A;BBDP1.M.DE.Y.EPL.L.L1A00000000.I10.A_FLAGS;BBDP1.M.DE.N.EPL.L.L1A00000000.I10.A;BBDP1.M.DE.N.EPL.L.L1A00000000.I10.A_FLAGS;BBDP1.M.DE.Y.EPG.G.GP09SA000000.I10.A;BBDP1.M.DE.Y.EPG.G.GP09SA000000.I10.A_FLAGS;BBDP1.M.DE.Y.EPG.G.GP09SA001500.I10.A;BBDP1.M.DE.Y.EPG.G.GP09SA001500.I10.A_FLAGS
"";Erzeugerpreise landwirtschaftlicher Produkte / Deutschland / kalender- und saisonbereinigt / Insgesamt;;Erzeugerpreise landwirtschaftlicher Produkte / Deutschland / Ursprungswerte / Insgesamt;;Erzeugerpreise gewerblicher Produkte im Inlandsabsatz / Deutschland / kalender- und saisonbereinigt / Insgesamt;;Erzeugerpreise gewerblicher Produkte im Inlandsabsatz / Deutschland / kalender- und saisonbereinigt / Insgesamt ohne Energieträger (Energie ohne 36 Wasser und Dienstleistungen der Wasserversorgung);
Einheit;2010=100;;2010=100;;2010=100;;2010=100;
Dimension;Eins;;Eins;;Eins;;Eins;
Stand vom;13.04.2016 12:25:10 Uhr;;13.04.2016 15:22:56 Uhr;;20.04.2016 08:08:24 Uhr;;20.04.2016 08:08:25 Uhr;
1968-01;74,1;;75,2;;;;;
1968-02;73,6;;74,1;;;;;
1968-03;73,4;;74,4;;;;;
1968-04;72,7;;73,0;;;;;
1968-05;73,9;;73,3;;;;;
1968-06;73,5;;72,4;;;;;
1968-07;74,1;;72,8;;;;;
1968-08;76,1;;74,5;;;;;
1968-09;76,3;;75,2;;;;;
1968-10;76,8;;76,5;;;;;
1968-11;78,7;;79,4;;;;;
1968-12;78,7;;81,1;;;;;
1969-01;78,6;;79,7;;;;;
1969-02;78,2;;78,8;;;;;
1969-03;78,7;;79,7;;;;;
1969-04;78,9;;79,2;;;;;
1969-05;77,8;;77,3;;;;;
1969-06;78,6;;77,6;;;;;
1969-07;78,8;;77,5;;;;;
1969-08;80,3;;78,4;;;;;
1969-09;80,4;;79,3;;;;;
1969-10;79,8;;79,5;;;;;
1969-11;80,0;;80,6;;;;;
1969-12;79,7;;82,1;;;;;
1970-01;78,1;;79,1;;;;;
1970-02;78,5;;79,2;;;;;
1970-03;78,7;;79,7;;;;;
1970-04;77,0;;77,3;;;;;
1970-05;76,4;;76,0;;;;;
1970-06;75,2;;74,3;;;;;
1970-07;76,8;;75,5;;;;;
1970-08;75,6;;73,8;;;;;
1970-09;73,7;;72,6;;;;;
1970-10;71,3;;71,2;;;;;
1970-11;70,6;;71,2;;;;;
1970-12;69,5;;71,6;;;;;
1971-01;71,9;;72,8;;;;;
1971-02;71,9;;72,5;;;;;
1971-03;72,1;;73,0;;;;;
1971-04;72,8;;73,0;;;;;
1971-05;72,3;;71,9;;;;;
1971-06;74,5;;73,5;;;;;
1971-07;74,4;;73,1;;;;;
1971-08;75,7;;74,0;;;;;
1971-09;77,1;;76,2;;;;;
1971-10;78,2;;78,0;;;;;
1971-11;78,7;;79,3;;;;;
1971-12;79,4;;81,7;;;;;
1972-01;79,3;;80,3;;;;;
1972-02;80,5;;81,3;;;;;
1972-03;80,3;;81,3;;;;;
1972-04;80,8;;81,1;;;;;
1972-05;82,7;;82,0;;;;;
1972-06;83,4;;82,3;;;;;
1972-07;83,8;;82,4;;;;;
1972-08;85,7;;83,8;;;;;
1972-09;86,8;;85,8;;;;;
1972-10;87,1;;86,7;;;;;
1972-11;86,5;;87,1;;;;;
1972-12;86,6;;89,1;;;;;
1973-01;87,6;;88,6;;;;;
1973-02;88,0;;88,9;;;;;
1973-03;89,2;;90,2;;;;;
1973-04;90,7;;90,8;;;;;
1973-05;92,1;;91,5;;;;;
1973-06;91,5;;90,3;;;;;
1973-07;90,2;;88,7;;;;;
1973-08;89,7;;87,8;;;;;
1973-09;90,5;;89,7;;;;;
1973-10;91,0;;90,8;;;;;
1973-11;91,7;;92,3;;;;;
1973-12;91,5;;94,0;;;;;
1974-01;89,6;;90,7;;;;;
1974-02;88,6;;89,6;;;;;
1974-03;87,9;;88,9;;;;;
1974-04;85,6;;85,8;;;;;
1974-05;85,6;;85,0;;;;;
1974-06;84,7;;83,6;;;;;
1974-07;83,5;;82,2;;;;;
1974-08;83,8;;82,0;;;;;
1974-09;86,7;;86,0;;;;;
1974-10;87,4;;87,3;;;;;
1974-11;88,7;;89,2;;;;;
1974-12;87,0;;89,2;;;;;
1975-01;87,1;;88,1;;;;;
1975-02;88,1;;89,2;;;;;
1975-03;90,0;;91,0;;;;;
1975-04;92,2;;92,4;;;;;
1975-05;93,6;;93,0;;;;;
1975-06;94,5;;93,4;;;;;
1975-07;96,5;;95,0;;;;;
1975-08;99,0;;96,8;;;;;
1975-09;100,3;;99,5;;;;;
1975-10;101,2;;100,9;;;;;
1975-11;103,5;;103,9;;;;;
1975-12;104,3;;106,7;;;;;
1976-01;107,2;;108,4;;;;;
1976-02;108,4;;109,8;;;;;
1976-03;110,2;;111,7;;;;;
1976-04;110,1;;110,5;;;;;
1976-05;106,9;;106,5;;;;;
1976-06;105,5;;104,4;;;;;
1976-07;105,2;;103,9;;;;;
1976-08;112,0;;109,4;;;;;
1976-09;110,1;;108,9;;;;;
1976-10;108,9;;108,3;;;;;
1976-11;108,0;;108,3;;;;;
1976-12;107,0;;109,1;;;;;
1977-01;107,4;;108,6;;;;;
1977-02;108,1;;109,4;;;;;
1977-03;107,7;;109,1;;;;;
1977-04;108,0;;108,4;;;;;
1977-05;107,7;;107,3;;;;;
1977-06;108,5;;107,4;;;;;
1977-07;109,6;;108,3;;;;;
1977-08;110,6;;108,3;;;;;
1977-09;109,5;;108,6;;;;;
1977-10;108,0;;107,5;;;;;
1977-11;107,6;;108,0;;;;;
1977-12;108,2;;110,3;;;;;
1978-01;106,9;;108,0;;;;;
1978-02;106,6;;107,7;;;;;
1978-03;105,2;;106,5;;;;;
1978-04;103,3;;103,6;;;;;
1978-05;103,6;;103,2;;;;;
1978-06;101,9;;100,8;;;;;
1978-07;103,2;;102,1;;;;;
1978-08;103,5;;101,4;;;;;
1978-09;103,3;;102,5;;;;;
1978-10;102,3;;101,6;;;;;
1978-11;102,2;;102,5;;;;;
1978-12;101,7;;103,5;;;;;
1979-01;102,4;;103,4;;;;;
1979-02;102,9;;104,0;;;;;
1979-03;103,6;;104,9;;;;;
1979-04;103,9;;104,3;;;;;
1979-05;104,1;;103,7;;;;;
1979-06;104,4;;103,6;;;;;
1979-07;105,4;;104,3;;;;;
1979-08;106,4;;104,4;;;;;
1979-09;107,4;;106,6;;;;;
1979-10;107,5;;106,7;;;;;
1979-11;107,9;;108,3;;;;;
1979-12;108,1;;109,8;;;;;
1980-01;108,2;;109,3;;;;;
1980-02;108,2;;109,3;;;;;
1980-03;107,6;;108,9;;;;;
1980-04;106,3;;106,7;;;;;
1980-05;106,2;;105,8;;;;;
1980-06;105,6;;105,1;;;;;
1980-07;105,8;;104,8;;;;;
1980-08;105,3;;103,4;;;;;
1980-09;106,0;;105,1;;;;;
1980-10;106,8;;105,9;;;;;
1980-11;108,2;;108,4;;;;;
1980-12;108,8;;110,3;;;;;
1981-01;108,8;;109,7;;;;;
1981-02;108,8;;109,8;;;;;
1981-03;109,6;;111,0;;;;;
1981-04;110,4;;110,8;;;;;
1981-05;110,8;;110,5;;;;;
1981-06;110,6;;110,3;;;;;
1981-07;112,7;;111,9;;;;;
1981-08;114,1;;112,0;;;;;
1981-09;117,6;;116,6;;;;;
1981-10;118,8;;117,9;;;;;
